Emission trend,Year,Macroplastics,Predicted
Emissions stop in 2020,2025,1116200,TRUE
Emissions stop in 2020,2026,1103700,TRUE
Emissions stop in 2020,2027,1090700,TRUE
Emissions stop in 2020,2028,1077300,TRUE
Emissions stop in 2020,2029,1063800,TRUE
Emissions stop in 2020,2030,1049900,TRUE
Emissions stop in 2020,2031,1035800,TRUE
Emissions stop in 2020,2032,1021300,TRUE
Emissions stop in 2020,2033,1006500,TRUE
Emissions stop in 2020,2034,991600,TRUE
Emissions stop in 2020,2035,976600,TRUE
Emissions stop in 2020,2036,961700,TRUE
Emissions stop in 2020,2037,947000,TRUE
Emissions stop in 2020,2038,932500,TRUE
Emissions stop in 2020,2039,918300,TRUE
Emissions stop in 2020,2040,904500,TRUE
Emissions stop in 2020,2041,890900,TRUE
Emissions stop in 2020,2042,877600,TRUE
Emissions stop in 2020,2043,864700,TRUE
Emissions stop in 2020,2044,851900,TRUE
Emissions stop in 2020,2045,839500,TRUE
Emissions stop in 2020,2046,827100,TRUE
Emissions stop in 2020,2047,815000,TRUE
Emissions stop in 2020,2048,802800,TRUE
Emissions stop in 2020,2049,790700,TRUE
Emissions stop in 2020,2050,778600,TRUE
